@RELATION Sasmos
@ATTRIBUTE class0 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class1 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class2 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class3 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class4 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class5 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class6 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class7 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class8 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class9 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class10 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}

@DATA
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,nero,turokroketes,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,nero,xumos,patates,milkshake,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,turokroketes,milkshake,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,patates,turokroketes,pagwto,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,patates,?,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,?,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,nero,patates,giaourtiMeli,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,froutosalata,patates,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,froutosalata,patates,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,pagwto,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,kaisara,patates,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,kaisara,patates,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,nero,patates,turokroketes
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,?,?,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?,?
marouli,anapsuktiko,froutosalata,giaourtiMeli,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,patates,turokroketes,giaourtiMeli,?
xwriatikh,kaisara,froutosalata,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,aggourontomata,patates,?,?,?,?
xumos,patates,giaourtiMeli,milkshake,?,?,?,?,?,?,?
turokroketes,milkshake,?,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,milkshake,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,patates,milkshake,?,?,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,froutosalata,patates,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,pagwto,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,nero,patates,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,marouli,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?
pswmiMauro,xumos,kaisara,pagwto,?,?,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,patates,turokroketes,giaourtiMeli,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,nero,patates,?,?,?,?,?
pswmiMauro,nero,xumos,kaisara,milkshake,?,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,patates,turokroketes,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,giaourtiMeli,?,?,?,?,?
xwriatikh,pswmiMauro,xumos,kaisara,giaourtiMeli,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,patates,giaourtiMeli,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,pagwto,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,froutosalata,patates,pagwto,giaourtiMeli,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,turokroketes,?,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,pagwto,?,?,?,?,?,?
pswmiMauro,nero,xumos,kaisara,giaourtiMeli,?,?,?,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,giaourtiMeli,milkshake,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,milkshake,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,nero,kaisara,patates,?,?,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,froutosalata,patates,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,aggourontomata,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,nero,turokroketes,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,aggourontomata,patates,?,?,?,?
guroKotopoulo,kotompeikon,milkshake,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,froutosalata,milkshake,?,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,pagwto,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,patates,?,?,?
mpiftekiLaxanikwn,saganaki,anapsuktiko,turokroketes,?,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,froutosalata,patates,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,milkshake,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,froutosalata,patates,milkshake,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,froutosalata,patates,giaourtiMeli,?,?,?
mpiftekiLaxanikwn,saganaki,marouli,pswmiMauro,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,?,?,?
pswmiMauro,xumos,kaisara,patates,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,milkshake,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,pagwto,?,?,?,?,?
kalamari,turokroketes,?,?,?,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,anapsuktiko,patates,turokroketes,giaourtiMeli,?,?,?
xwriatikh,xumos,pagwto,giaourtiMeli,?,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,patates,?,?,?,?,?
aggourontomata,patates,turokroketes,pagwto,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,patates,turokroketes,giaourtiMeli,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,aggourontomata,patates,pagwto,?
xwriatikh,kotompoukies,pagwto,milkshake,?,?,?,?,?,?,?
xwriatikh,kaisara,froutosalata,?,?,?,?,?,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,pagwto,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,patates,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,giaourtiMeli,?,?,?
saganaki,pswmiMauro,xumos,kaisara,milkshake,?,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,froutosalata,patates,turokroketes,giaourtiMeli,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,patates,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,patates,turokroketes,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,nero,patates,turokroketes,?,?,?,?
guroKotopoulo,xwriatikh,marouli,kaisara,patates,?,?,?,?,?,?
kalamari,aggourontomata,giaourtiMeli,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
xwriatikh,pswmiMauro,xumos,kaisara,pagwto,?,?,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
mpiftekiLaxanikwn,marouli,patates,?,?,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,froutosalata,patates,pagwto,?,?,?
kalamari,froutosalata,turokroketes,?,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,milkshake,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,froutosalata,patates,?,?,?
saganaki,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,aggourontomata,patates,?,?,?
pswmiMauro,xumos,kaisara,froutosalata,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,patates,turokroketes,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,patates,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,froutosalata,patates,giaourtiMeli,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,nero,aggourontomata,patates,?,?,?
pswmiMauro,xumos,kaisara,patates,pagwto,milkshake,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,nero,patates,?,?,?,?,?
froutosalata,turokroketes,milkshake,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,nero,aggourontomata,giaourtiMeli,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,aggourontomata,patates,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,nero,patates,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,patates,turokroketes,milkshake,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,nero,patates,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,froutosalata,patates,giaourtiMeli,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,?,?,?,?,?,?
mpiftekiLaxanikwn,anapsuktiko,nero,turokroketes,giaourtiMeli,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,nero,patates,?,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,patates,milkshake,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,nero,patates,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,nero,patates,pagwto,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,pagwto,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,kaisara,froutosalata,patates,pagwto,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,aggourontomata,froutosalata,patates,milkshake
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,nero,turokroketes,pagwto,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,nero,patates,milkshake,?,?,?,?
mpiftekiLaxanikwn,saganaki,anapsuktiko,nero,froutosalata,turokroketes,?,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
marouli,kaisara,kotompoukies,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,marouli,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?
guroKotopoulo,xwriatikh,marouli,kaisara,patates,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,patates,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,kaisara,froutosalata,patates,pagwto
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,nero,patates,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,turokroketes,?,?
pswmiMauro,xumos,kaisara,patates,milkshake,?,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,marouli,mpura,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,aggourontomata,patates,?,?,?
kaisara,pagwto,?,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,froutosalata,patates,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,aggourontomata,froutosalata,patates,giaourtiMeli,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,patates,turokroketes,?,?,?,?,?
kalamari,aggourontomata,milkshake,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,mpura,nero,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,aggourontomata,patates,pagwto,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,?,?,?
guroKotopoulo,xwriatikh,marouli,patates,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,nero,patates,giaourtiMeli,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,kaisara,froutosalata,patates,giaourtiMeli,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,patates,turokroketes,?,?,?,?
saganaki,patates,turokroketes,pagwto,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,aggourontomata,patates,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,kaisara,patates,pagwto,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,aggourontomata,froutosalata,patates,pagwto,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,nero,patates,milkshake,?,?
kalamari,turokroketes,milkshake,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,nero,turokroketes,giaourtiMeli,?,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,xumos,froutosalata,patates,milkshake,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,kaisara,patates,milkshake,?
xwriatikh,saganaki,pswmiMauro,xumos,kaisara,aggourontomata,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,milkshake,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,patates,?,?,?
